ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
511090.SH,20241118,115.928,115.7,115.7,114.946,114.959,-0.969,-0.8359,227342.0,2618867.44,1.04,112.878,112.878,112.142,112.155
511090.SH,20241119,114.959,114.874,115.385,114.765,115.35,0.391,0.3401,224208.0,2582389.12,1.04,112.072,112.571,111.966,112.537
511090.SH,20241120,115.35,115.35,115.463,115.201,115.378,0.028,0.0243,212461.0,2450492.329,1.04,112.537,112.647,112.391,112.564
511090.SH,20241121,115.378,115.305,115.79,115.17,115.785,0.407,0.3528,232543.0,2684395.552,1.04,112.493,112.966,112.361,112.961
511090.SH,20241122,115.785,115.926,116.157,115.821,116.085,0.3,0.2591,251154.0,2913168.876,1.04,113.099,113.324,112.996,113.254
511090.SH,20241125,116.085,115.927,116.606,115.915,116.388,0.303,0.261,286375.0,3332975.164,1.04,113.1,113.762,113.088,113.549
511090.SH,20241126,116.388,116.536,116.798,116.388,116.769,0.381,0.3274,280736.43,3271614.647,1.04,113.694,113.949,113.549,113.921
511090.SH,20241127,116.769,116.64,116.906,116.39,116.479,-0.29,-0.2484,371975.9,4342411.053,1.04,113.795,114.055,113.551,113.638
511090.SH,20241128,116.479,116.479,116.888,116.416,116.842,0.363,0.3116,343258.0,4003578.025,1.04,113.638,114.037,113.577,113.992
511090.SH,20241129,116.842,117.2,117.54,116.86,117.347,0.505,0.4322,435201.61,5104032.373,1.04,114.341,114.673,114.01,114.485
511090.SH,20241202,117.347,117.701,118.318,117.701,118.269,0.922,0.7857,318786.01,3764056.086,1.04,114.83,115.432,114.83,115.384
511090.SH,20241203,118.269,118.27,118.314,117.814,118.183,-0.086,-0.0727,323484.23,3821866.34,1.04,115.385,115.428,114.94,115.3
511090.SH,20241204,118.183,118.26,118.99,118.26,118.891,0.708,0.5991,358077.02,4250096.272,1.04,115.376,116.088,115.376,115.991
511090.SH,20241205,118.891,118.881,119.143,118.642,118.998,0.107,0.09,347547.0,4132336.967,1.04,115.981,116.237,115.748,116.096
511090.SH,20241206,118.998,118.81,119.053,118.35,118.468,-0.53,-0.4454,487935.95,5795228.331,1.04,115.912,116.149,115.463,115.579
511090.SH,20241209,118.468,118.511,118.83,118.511,118.649,0.181,0.1528,404583.02,4802519.027,1.04,115.62,115.932,115.62,115.755
511090.SH,20241210,118.649,119.425,120.895,119.02,120.871,2.222,1.8728,475678.1,5718183.879,1.04,116.512,117.946,116.117,117.923
511090.SH,20241211,120.871,120.27,120.864,120.056,120.532,-0.339,-0.2805,500609.45,6030458.546,1.04,117.337,117.916,117.128,117.592
511090.SH,20241212,120.532,121.146,121.551,120.79,121.017,0.485,0.4024,515063.06,6238033.825,1.04,118.191,118.586,117.844,118.065
511090.SH,20241213,121.017,121.799,122.319,121.558,122.063,1.046,0.8643,448454.0,5475782.235,1.04,118.828,119.336,118.593,119.086
511090.SH,20241216,122.063,122.466,123.77,122.456,123.334,1.271,1.0413,482325.0,5943776.693,1.04,119.479,120.751,119.469,120.326
511090.SH,20241217,123.334,123.008,123.347,122.668,122.835,-0.499,-0.4046,570897.24,7018962.765,1.04,120.008,120.339,119.676,119.839
511090.SH,20241218,122.835,123.015,123.358,121.2,122.079,-0.756,-0.6155,691306.08,8460110.167,1.04,120.015,120.349,118.244,119.101
511090.SH,20241219,122.079,122.01,122.24,121.21,121.513,-0.566,-0.4636,541380.3,6589272.202,1.04,119.034,119.259,118.254,118.549
511090.SH,20241220,121.513,122.158,123.125,122.15,123.107,1.594,1.3118,401482.09,4924061.498,1.04,119.179,120.122,119.171,120.104
511090.SH,20241223,123.107,123.967,124.28,122.762,123.065,-0.042,-0.0341,498190.76,6148656.601,1.04,120.943,121.249,119.768,120.063
511090.SH,20241224,123.065,122.82,123.361,122.067,122.181,-0.884,-0.7183,499618.18,6136520.295,1.04,119.824,120.352,119.09,119.201
511090.SH,20241225,122.181,122.33,122.556,121.665,122.142,-0.039,-0.0319,412762.0,5040069.539,1.04,119.346,119.567,118.698,119.163
511090.SH,20241226,122.142,122.257,122.45,121.94,122.061,-0.081,-0.0663,345162.75,4214245.836,1.04,119.275,119.463,118.966,119.084
511090.SH,20241227,122.061,122.871,123.68,122.579,123.64,1.579,1.2936,497833.0,6136309.754,1.04,119.874,120.663,119.589,120.624
511090.SH,20241230,123.64,123.57,123.653,123.062,123.084,-0.556,-0.4497,371341.06,4580446.459,1.04,120.556,120.637,120.06,120.082
511090.SH,20241231,123.084,124.01,124.315,123.669,124.143,1.059,0.8604,455183.0,5648917.219,1.04,120.985,121.283,120.653,121.115
511090.SH,20250102,124.143,125.123,126.248,124.952,125.903,1.76,1.4177,445431.48,5600415.287,1.04,122.071,123.169,121.904,122.832
511090.SH,20250103,125.903,126.911,127.495,125.531,126.025,0.122,0.0969,741639.66,9382867.785,1.04,123.816,124.385,122.469,122.951
511090.SH,20250106,126.025,126.045,126.48,125.154,126.442,0.417,0.3309,543414.96,6843188.166,1.04,122.971,123.395,122.101,123.358
511090.SH,20250107,126.442,126.198,126.419,125.57,125.996,-0.446,-0.3527,576019.0,7261676.181,1.04,123.12,123.336,122.507,122.923
